sinonimuntukcerpen
muda belia,bujang,jejaka
benar benaar,beenar
lama lambaan,lamaa
tangis taangis,isakan
meninggalkannya meninggalkan,melalaikan
menggendongnya menggendong
sandiwara dagelan
terlalu amat
pulih membaik
senang gembira,bahagia,bungah
emosiku perasaanku
rambutnya surainyaa,rambutnyaa
membelai membelai-belai,mengelus-ngelus
jadi menjadi
jawabku balasanku
sana sanaa,situu
orangtuaku bapak-ibuku,ortuku
memohon menghendaki,minta,memerlukan
sulit suliit,beraat
sedikit agak
menghampiri merapat,mendekat,mendatangi
berdiri berdirii
depan hadapan
rumahku bangunanku
esok esook,besook,lusaa
harinya harinyaa,hariinya
menunduk bersembunyi,nunduk
terdiam diam
pindah berpindah
luar luaar
kota metropolitan kotaa
besok beesok,lusaa
pamit berpamit
sekaligus sekaliguus,sekaalian
pula pun,kembali
kesempatan peluang,giliran
kesakitan kesaakitan
menyeringai berkumut,menyengih,meringis
kompres komprees
mengajarkannya mengajarkan
nenekku nenek
mengurut ngurut
salah salaah
kakinya kakinyaa
urut kuurut,uruut
jam jaam
bersih-bersih bersiih-bersih
menunggunya menunggu
hingga sampai-sampai,sampai
dibantu disantuni
tangganya tangganyaa
membutuhkanku membutuhkankuu,memerlukankuu
terkecuali kecuali
asisten asisteen,pembantuu
tangga tanggaa
tentu pastii,niscaya
siapa siapaa
sesampainya sampainya
mengantarnya menemaninya,mengiringinya
menggendonnya menggendong,memanggul
memelas melas
kakiku kaki,suku
jawabnya jawabannya,elakannya
terkilir kepelintir
kasihan iba
bangun banguun,baangun
anter anterin
jawab elakan,jawaban
gitu begitu
lihat melihat
bunuh membunuh
hampir nyariis,hampiir
disiram disirami,diguyuri
marah gregetan
tanyaku tanyakuu,kutanyaa
pelukannya peluknya
membalas balik
diam mematung,terdiam,bungkam,hening,membatu,membisu
memelukku memeluk
sisinya sisi
menoleh lihat
menyadari mengetahui
kehadiranku keberadaanku
terjadi terjadii
hampiri dekatii,hampirii
setengah sebelaah,setengaah,seetengah
jongkok jongkook,duduuk
perlahan perlahan-lahan
apa apaa
habis sehabis
dipukuli dipukul
astaga waduh
tuhan tuhaan
entah jangan-jangan
oleh akibat,karena
oli olii
lebam lebaam
tubuhnya jasmaninya
basah berair,bersimbah
kotor coreng-moreng,ternoda
gadis wanita
tersungkur jatuh,terjerahap,terjerembap,terkusruk,terambau,terhempas,tersembam
pembuangan pengasing,pengasiingan
mobil mobiil,kereta
koyak kooyak,koyaak
dekat hadapan
ternyata nyatanyaa
sumber asaal
suara bunyi
sekitarku sekitar,sekelilingku
cari cari-cari
seseorang seorang
isakan isak,sedu,tangis
dengar mendengar
sepi sepii,sunyii
jalan gang,jalaan,jaalan,bulevar,lintasan
tengah antara,teengah
langkah langkaah
pulangku kembaliku,pulang,kembali
terhenti macet,terdiam
lelah capeek
berpura-pura pura-pura
cintanya cinta,asmaranya
ah aah
masa masaa
bodo bodoo,bodooh
nada irama
tinggi tiinggi
hadapanku wajahku
pasti pastii,akan
kecewa kesal
ucapnya ucapnyaa,tuturnyaa
lirih liriih,lembuut
bicara berbicara
kasar beringas,agresif,biadab
percaya percayaa,percaaya
seakan seakan-akan,sepertii
menatapku menatap
melotot melootot,melotoot
padanya kepadanya
tersentak kaget
bentakanku bentakku
anak bayii,bocaah,anaak
kecil minii,ingusan
minta meminta,mintaa
balon baloon,baalon
omelku gerutuku
jangan tidaak,tiadaa,jangaan
otak otaak
dewasa besar,matang
harusnya seharusnya,semestinya
mikir pikirkan
ra airaa
sih siih
spontan langsuung,serentak
membentaknya membentak
diem diaam,dieem
wajah wajahnya,figurnya,mukanya,parasnya,persona
ayu cantiik,jelita,menawan
kali kalii
disanjungnya disanjung,dipuji,dipuja
galau gelisah,khawatir,bimbang,bingung,cemas
lain lainnya
saja ajaa,sajaa
langsung segera
